Что такое Дарбханга?|Город в Индии|Фруктовое дерево|Прием в борьбе джиу-джитсу.|Одна из аватар Будды
Что такое "просак"?|Место, где плели канаты|Долговая тюрьма|Корабельный трюм|Выгребная яма
При каком из этих заболеваний не развивается сердечная астма ?|Эндомеириоз|Инфаркт миокарда|Пороки сердца|Гипертоническая болезнь
При какой аритмии происходит нарушение проведения импульса от предсердий к желудочкам ?|Блокада сердца|Экстрасистомия|Синусовая аритмия|Параксизмальная тахикардия
Каково время кругооборота крови по большому кругу кровообращения в норме?|20-25 секунд|15-20 секунд|25-30 секунд|30-35 секунд
Какое заболевание не влияет на ухудшение работы сердца?|Эндомиометрит|Миокардит|Инфаркт миокарда|Выраженный кардиосклероз
Кто из этих композиторов не был учеником Антонио Сальери?|Шуман|Лист|Бетховен|Шуберт
Как звали боярыню Морозову, которой посвящена картина В.Сурикова?|Феодосия|Ефросиния|Анастасия|Пелагея
Что по определению великого русского физиолога И.М. Сеченова, играет роль своеобразных "кранов" кровеносной системы?|Артериолы|Артерии|Капилляры|Вены
Как по научному называется выгорание взрывчатого вещества?|Дефлаграция|Дефламмизация|Эксплорация|Диффамация
Каково время кругооборота крови по малому кругу кровообращения в норме?|7-11 секунд|11-15 секунд|15-19 секунд|19-22 секунд
Кого из этих писателей англичане считают прародителем разведслужбы Великобритании?|Даниель Дефо|Джонатан Свифт|Генри Филдинг|Чарльз Диккенс
Что означает слово ТСУГА?|Хвойное дерево|Лиственное дерево|Народ в Лесото|Народ в Ботсване
Что из перечисленного не обозначало в России XIX века места заключения осужденных?|Скудельный дом|Мертвый дом|Смирительный дом|Съезжий дом
При какой аритмии происходит внезапное резкое учащение сердечного ритма?|Параксизмальная тахикардия|Блокада сердца|Экстрасистомия|Синусовая аритмия
Скольки камерное сердце у человека?|4|3|2|5
Какие из этих вен относятся к венам мышечного типа ?|Плечевая вена|Вены селезенки|Вены глаз|Вены мозговых оболочек
Как в Латинской Америке называют потомство от браков индейцев с неграми или мулатами?|Самбо|Мамбо|Креолы|Негрито
Название какого из этих городов связано не с добычей, а с переработкой нефти?|Нефтегорск|Нефтекумск|Нефтекамск|Нефтеюганск
Кого иначе звали госпитальерами?|Иоаннитов|Францисканцев|Бернардинцев|Тамплиеров
Из произведений какого писателя физики заимствовали слово "кварк"?|Джеймс Джойс|Льюис Кэррол|Уильям Фолкнер|Уильям Теккерей
Что является главным симптомом сердечной недостаточности при поражении преимущественно левых отделов сердца ?|Одышка|Отеки|Набухание вен|Синюшность кистей
Какой препарат не относится к снотворным средствам?|Азафен|Эстимал|Реладорм|Барбитал
Какой препарат не относится к отхаркивающим средствам?|Агиолакс|Макалтин|Пертусин|Бромгексин
Какой витамин известен как витамин "Е" ?|Токоферола ацетат|Ретинола ацетат|Фолиевая кислота|Эргокальциферол
Как называется административный центр штата Аляска?|Джуно|Принс-Руперт|Доусон|Сьюард
